Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Chefinho,NFAPPL-01-IPAD7=3-A1F888AE04F90D1E621FA8EDF7C332F9A43D800A060FA4D1A41DEE77B3561191,iPad Pro 10.5-Inch (Wi-Fi),2020-09-15T22:58:40.425Z,2022-09-14T14:22:43.916Z,2020-09-15T22:58:40.425Z,2022-09-14T14:22:43.916Z,,,,,
Juliana,NFAPPL-01-IPAD7=3-A1F888AE04F90D1E621FA8EDF7C332F9A43D800A060FA4D1A41DEE77B3561191,iPad Pro 10.5-Inch (Wi-Fi),2020-09-15T22:58:40.425Z,2022-09-14T14:22:43.916Z,2020-09-15T22:58:40.425Z,2022-09-14T14:22:43.916Z,,,,,
Deanna,NFAPPL-01-IPAD7=3-A1F888AE04F90D1E621FA8EDF7C332F9A43D800A060FA4D1A41DEE77B3561191,iPad Pro 10.5-Inch (Wi-Fi),2020-09-15T22:58:40.425Z,2022-09-14T14:22:43.916Z,2020-09-15T22:58:40.425Z,2022-09-14T14:22:43.916Z,,,,,
CECI,NFAPPL-01-IPAD7=3-A1F888AE04F90D1E621FA8EDF7C332F9A43D800A060FA4D1A41DEE77B3561191,iPad Pro 10.5-Inch (Wi-Fi),2020-09-15T22:58:40.425Z,2022-09-14T14:22:43.916Z,2020-09-15T22:58:40.425Z,2022-09-14T14:22:43.916Z,,,,,
Lourenço,NFCDSF-01-JADGLJ6XYYAK2EFTMVCMYW6D64NAHL,Safari MAC (Cadmium),2022-06-12T19:31:28.406Z,2022-06-12T19:31:28.406Z,,,,,,,
Juliana,NFCDSF-01-JADGLJ6XYYAK2EFTMVCMYW6D64NAHL,Safari MAC (Cadmium),2022-06-12T19:31:28.406Z,2022-06-12T19:31:28.406Z,,,,,,,
Deanna,NFCDSF-01-JADGLJ6XYYAK2EFTMVCMYW6D64NAHL,Safari MAC (Cadmium),2022-06-12T19:31:28.406Z,2022-06-12T19:31:28.406Z,,,,,,,
CECI,NFCDSF-01-JADGLJ6XYYAK2EFTMVCMYW6D64NAHL,Safari MAC (Cadmium),2022-06-12T19:31:28.406Z,2022-06-12T19:31:28.406Z,,,,,,,
Lourenço,NFAPPL-01-IPAD13=4-BBDD8FB033A865BF3AC0CC10192B033775B7316B3915E3DBC5FD5CC0F35317A3,Apple iPad Pro 11 in 3rd Gen (Wi-Fi) iPad,2022-06-26T06:36:01.748Z,2022-09-15T16:31:14.644Z,2022-06-26T06:36:01.748Z,2022-09-15T16:31:14.644Z,,,,,
Juliana,NFAPPL-01-IPAD13=4-BBDD8FB033A865BF3AC0CC10192B033775B7316B3915E3DBC5FD5CC0F35317A3,Apple iPad Pro 11 in 3rd Gen (Wi-Fi) iPad,2022-06-26T06:36:01.748Z,2022-09-15T16:31:14.644Z,2022-06-26T06:36:01.748Z,2022-09-15T16:31:14.644Z,,,,,
