Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Chefinho,BR,Android Phone,0,black,Exit Wounds,select,title_results,2021-12-20 08:26:14
Chefinho,BR,Android Phone,0,black,Ex Machina,add,title_results,2021-12-20 08:26:00
Chefinho,BR,Android Phone,0,black,Ex Machina,select,title_results,2021-12-20 08:25:43
Chefinho,BR,Android Phone,0,trial,,select,title_results,2021-12-20 08:23:43
Chefinho,BR,Android Phone,0,trial,,add,title_results,2021-12-20 08:23:38
Chefinho,BR,Android Phone,0,trial,,select,title_results,2021-12-20 08:23:27
Chefinho,BR,Android Phone,0,trial,Premonition,add,title_results,2021-12-20 08:23:12
Chefinho,BR,Android Phone,0,trial,Premonition,select,title_results,2021-12-20 08:22:49
Chefinho,BR,Android Phone,0,trial,Murder to Mercy: The Cyntoia Brown Story,select,title_results,2021-12-20 08:22:16
Chefinho,BR,Android Phone,0,trial,Lost Girls,add,title_results,2021-12-20 08:22:10
Chefinho,BR,Android Phone,0,trial,Lost Girls,select,title_results,2021-12-20 08:22:02
Chefinho,BR,Android Phone,0,trial,The Angel,select,title_results,2021-12-20 08:21:49
Chefinho,BR,Android Phone,0,central park five,Michael Che Matters,select,title_results,2021-12-20 08:21:13
Chefinho,BR,Android Phone,0,central park five,Becoming,select,title_results,2021-12-20 08:19:32
Chefinho,BR,Android Phone,0,central park five,,add,title_results,2021-12-20 08:19:20
Chefinho,BR,Android Phone,0,central park five,,select,title_results,2021-12-20 08:19:10
Chefinho,BR,Android Phone,0,final solution,,select,title_results,2021-12-20 08:18:51
Chefinho,BR,Android Phone,0,final solution,Mr. Jones,add,title_results,2021-12-20 08:18:16
Chefinho,BR,Android Phone,0,final solution,Mr. Jones,select,title_results,2021-12-20 08:18:02
Chefinho,BR,Android Phone,0,final solution,Lawless,select,title_results,2021-12-20 08:17:35
Chefinho,BR,Android Phone,0,eyes of evil,Army of Thieves,select,title_results,2021-12-20 08:16:53
Chefinho,BR,Android Phone,0,eyes of evil,The Forgotten Battle,add,title_results,2021-12-20 08:16:06
Chefinho,BR,Android Phone,0,eyes of evil,The Forgotten Battle,select,title_results,2021-12-20 08:16:04
Chefinho,BR,Android Phone,0,eyes of evil,The Forgotten Battle,select,title_results,2021-12-20 08:15:49
