Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
Chefinho,Trailer: Girl in the Picture,FireTV 4K Stick 2018,2022-09-03 12:48:22,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":20},{""eventType"":""playing"",""sessionOffsetMs"":2900,""mediaOffsetMs"":20},{""eventType"":""paused"",""sessionOffsetMs"":3234,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":5437,""mediaOffsetMs"":34}]"
Chefinho,Season 1 Main Character Intro Clip: Devil in Ohio,FireTV 4K Stick 2018,2022-09-03 12:48:02,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2353,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":19824,""mediaOffsetMs"":17505},{""eventType"":""stopped"",""sessionOffsetMs"":22082,""mediaOffsetMs"":17181}]"
Chefinho,High Context Clip: Our Father,FireTV 4K Stick 2018,2022-09-03 12:47:53,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2850,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":8859,""mediaOffsetMs"":5754},{""eventType"":""stopped"",""sessionOffsetMs"":11118,""mediaOffsetMs"":5769}]"
Chefinho,Clean_hook_02_16x9,FireTV 4K Stick 2018,2022-09-03 12:47:29,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2565,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":24262,""mediaOffsetMs"":21623},{""eventType"":""stopped"",""sessionOffsetMs"":26473,""mediaOffsetMs"":21216}]"
Chefinho,Hanna_hook_03_16x9,FireTV 4K Stick 2018,2022-09-03 12:47:22,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2297,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":4874,""mediaOffsetMs"":2123},{""eventType"":""stopped"",""sessionOffsetMs"":7540,""mediaOffsetMs"":2237}]"
Chefinho,Act 2 Conflict Clip: Spiderhead,FireTV 4K Stick 2018,2022-09-03 12:47:19,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":3171,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":3737,""mediaOffsetMs"":400},{""eventType"":""stopped"",""sessionOffsetMs"":5873,""mediaOffsetMs"":466}]"
Chefinho,Oscar's Oasis_hook_primary_16x9,FireTV 4K Stick 2018,2022-09-03 12:47:06,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2090,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":2273,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":4236,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":7201,""mediaOffsetMs"":3001},{""eventType"":""playing"",""sessionOffsetMs"":7943,""mediaOffsetMs"":3001},{""eventType"":""paused"",""sessionOffsetMs"":11680,""mediaOffsetMs"":6802},{""eventType"":""stopped"",""sessionOffsetMs"":13929,""mediaOffsetMs"":6808}]"
Chefinho,"Oscar's Oasis: Season 1: ""Winning Ticket / Collector Mania / Lucked Out / Firefly Flash!""",FireTV 4K Stick 2018,2022-09-03 12:33:20,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":18000},{""eventType"":""playing"",""sessionOffsetMs"":1244,""mediaOffsetMs"":18000},{""eventType"":""paused"",""sessionOffsetMs"":820431,""mediaOffsetMs"":836986},{""eventType"":""stopped"",""sessionOffsetMs"":822850,""mediaOffsetMs"":836134}]"
Chefinho,"Oscar's Oasis: Season 1: ""Egg Over Easy / Forbidden Paradise / Scam Sandwich / Get out of It""",FireTV 4K Stick 2018,2022-09-03 12:26:23,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":1264000},{""eventType"":""playing"",""sessionOffsetMs"":2621,""mediaOffsetMs"":1264000},{""eventType"":""paused"",""sessionOffsetMs"":418450,""mediaOffsetMs"":1679788},{""eventType"":""stopped"",""sessionOffsetMs"":418731,""mediaOffsetMs"":1679805}]"
Chefinho,Oscar's Oasis_hook_primary_16x9,FireTV 4K Stick 2018,2022-09-03 12:26:18,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2223,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":5796,""mediaOffsetMs"":3515},{""eventType"":""stopped"",""sessionOffsetMs"":7019,""mediaOffsetMs"":3629}]"
