Transaction Date,Service Period Start Date,Service Period End Date,Description,Payment Type,Mop Last 4,Mop Creation Date,Mop Pmt Processor Desc,Item Price Amt,Currency,Tax Amt,Gross Sale Amt,Pmt Txn Type,Pmt Status,Final Invoice Result,Country,Next Billing Date
2021-03-08,2021-03-08,2021-04-07,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2021-04-08
2021-02-08,2021-02-08,2021-03-07,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2021-03-08
2021-02-08,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2021-01-08,2021-01-08,2021-02-07,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2021-02-08
2021-01-08,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2020-12-08,2020-12-08,2021-01-07,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2021-01-08
2020-12-08,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2020-11-08,2020-11-08,2020-12-07,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2020-12-08
2020-11-08,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2020-10-08,2020-10-08,2020-11-07,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2020-11-08
2020-10-08,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2020-09-08,2020-09-08,2020-10-07,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2020-10-08
2020-09-08,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2020-08-08,2020-08-08,2020-09-07,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2020-09-08
2020-08-08,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2020-07-08,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2020-07-08,2020-07-08,2020-08-07,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2020-08-08
2020-06-08,2020-06-08,2020-07-07,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2020-07-08
2020-06-08,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2020-05-08,2020-05-08,2020-06-07,SUBSCRIPTION,VISA,6709,,CIELO,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2020-06-08
2020-05-08,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2020-04-08,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2020-04-08,2020-04-08,2020-05-07,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2020-05-08
2020-03-08,2020-03-08,2020-04-07,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2020-04-08
2020-03-08,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2020-02-08,2020-02-08,2020-03-07,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2020-03-08
2020-02-08,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2020-01-08,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
